82D4	傇	wabg		rong3
82D5	傉	wdff		nu4
82D6	傊	wkmy		yun4
82D7	傋	wfjf	wamf	gou4,jiang3
82D8	傌	wcy	wcoy	ma3
82D9	傎	wfhw		dian1
82DA	傏	wyvk	wovk	tang2
82DB	傐	wymk		hao4
82DC	傑	wqas	wqgs	jie2
82DD	傒	wexd		xi1
82DE	傓	wynn		shan4
82DF	傔	wuvo	wuvw	jian1,qian4
82E0	傕	wpwy		jue2,que4
82E1	傖	wwyk		cang1,chen5
82E2	傗	wyxl		chu4
82E3	傘	wwwf		san3
82E4	備	wate		bei4
82E5	傚	wuqt	wurt	xiao4
82E6	傛	wpwk		rong2,yong3
82E7	傜	werm	wetb	yao2
82E8	傝	wjng		ta4
82E9	傞	wuda	wuag	suo1
82EA	傟	wwcn		yang3
82EB	傠	wyfy		fa2
82EC	傡	wuug		bing4
82ED	傢	wpey	wpge	jia1,jie5
82EE	傤	wfal		zai4
82EF	傦	wmeg		gu3
82F0	傪	wcce		can1,san3
82F1	傫	wlxi		lei3
82F2	傭	wyvh	wovh	chong1
82F3	傮	wgmj		cao2,zao1
82F4	傯	wtln		zong3
82F5	傰	wmee		beng1
82F6	傱	wtwh		song3
82F7	傳	wgjf		chuan2,zhuan4
82F8	傴	wakk		yu3
82F9	債	wgmy		zhai4
82FA	傶	wdht	wdhi	qi1,zu2
82FB	傷	wtjr		shang1
82FC	傸	wdqq	wdrr	chuang3
82FD	傹	wujq		jing4
82FE	傼	wakw	wakg	han4
8340	傽	wujh		zhang1
8341	傾	wxdm		qing1
8342	傿	wgho		yan1
8343	僀	waqh		di4
8344	僁	wton		xie4
8345	僂	wlvg		lou2,lv3
8346	僃	waqe		bei4
8347	僄	wsfi		piao4
8348	僅	wakg		jin3
8349	僆	wlpy		lian4
834A	僇	wnwe		lu4,liao2
834B	僈	wjlc		man4
834C	僉	wgkw		qian1
834D	僊	wsdn		xian1
834E	僋	wwym		tan4
834F	僌	wlty		ying2
8350	働	wtgl	wtge	dong4
8351	僎	wnnw		zhuan4,zun1
8352	僐	wudk	wuuk	shan4
8353	僑	wtdk		qiao2
8354	僒	wpwk		jiong3
8355	僓	wkhm		tui2
8356	僔	wusf		zun3
8357	僕	wogy	woug	pu2
8358	僗	wool	wooe	lao2
8359	僘	wimt		chang3
835A	僙	wamw		guang1
835B	僛	wadw	wdww	qi1
835C	僜	wwgu		teng2,deng1
835D	僝	wnbb		chan2,zhuan4
835E	僞	weto		wei2
835F	僟	wxxt	wxxw	ji1
8360	僠	wtol		bo1
8361	僡	wgjn		hui4
8362	僢	weph	wepg	chuan3
8363	僣	wfwj	wggj	tie3,jian4
8364	僤	wkkf		dan4,chan2
8365	僥	wffq		yao2,jiao3
8366	僨	wfam		fen4
8367	僩	wueg		xian4
8368	僪	wcbk	wcnk	yu4,ju2
8369	僫	wghn	wgfn	e4
836A	僯	woqh	woqg	lin4
836B	僰	gmiw	smsw	bo2
836C	僱	wyny		gu4
836D	僲	wsqh	wsqg	xian1
836E	僴	wujg		xian4
836F	僶	wmgv	wxg	min3
8370	僷	waas		ye4
8371	僸	wssi		jin4
8372	價	wsmy		jia4,qia3
8373	僺	wkks		qiao4
8374	僼	wmau		feng1
8375	僽	wton		zhou4
8376	僾	wept		ai4
8377	僿	wpff	wpaf	sai4
8378	儀	wugt	wugy	yi2
8379	儁	wwym	wwyn	jun4
837A	儂	wmae		nong2
837B	儃	wylg		chan2,shan4
837C	億	wujn		yi4
837D	儅	wipl		dang1
837E	儈	wwgj		kuai4
8380	儉	wwgw		jian3
8381	儊	wssh		chu4
8382	儌	wryt		jiao3
8383	儍	wqot	wobt	sha3
8384	儎	wfal		zai4
8385	儏	whqo		can4
8386	儐	wpgm		bin1
8387	儑	wjxo		an4
8388	儓	wfkf		tai2
8389	儔	wfnf		chou2,dao4
838A	儕	wyvf	wyjg	chai2
838B	儖	wahl		lan2
838C	儗	wxth		yi4,ni3
838D	儘	wvhl		jin3
838E	儙	wkhp		qian4
838F	儚	walq		meng2
8390	儛	wrlh	wtgg	wu3
8391	儜	wpns		ning2
8392	儝	woos		qiong2
8393	儞	wgwq	wgwr	ni3
8394	償	wipm		chang2
8395	儠	wvln		lie4
8396	儢	whan	whln	lv3
8397	儣	wyaw	woaw	kuang3
8398	儤	wjai		bao4
8399	儥	wflm		yu4,di2
839A	儦	wyno	woxo	biao1
839B	儧	wfwm	wggm	zan3
839C	儨	wrrm		zhi4
839D	儩	wmjr		si4
839E	優	wdet		you1
