'chai'qian 差遣
'chai'shi 差使
'guan'chai 官差
'mei'chai 美差
'cen'ci 参差
'chai'lv'fei 差旅费
'kai'xiao'chai 开小差
'gui'shi'shen'chai 鬼使神差
'wu'wang'fu'chai 吴王夫差
'sha'che 刹车
'jiao'sha 脚刹
'shou'sha 手刹
'sha'zhu 刹住
'sha'zha 刹闸
'bo'lin 柏林
'huang'bo 黄柏
'bo'la'tu 柏拉图
'zhang'bo'zhi 张柏芝
'du'se 堵塞
'zu'se 阻塞
'bi'se 闭塞
'bi'se 鼻塞
'geng'se 梗塞
'tang'se 搪塞
'yu'se 语塞
'yong'se 拥塞
'chong'se 充塞
'tian'se 填塞
'yu'se 淤塞
'yong'se 壅塞
'shuan'se 栓塞
'yan'se'hu 堰塞湖
'mao'se'dun'kai 茅塞顿开
'dun'kai'mao'se 顿开茅塞
'bi'mu'se'ting 闭目塞听
'hu'po 湖泊
'jing'po'hu 镜泊湖
'shui'po'liang'shan 水泊梁山
'xia'zhuan 侠传
'wai'zhuan 外传
'zi'zhuan 自传
'yan'gui'zheng'zhuan 言归正传
'lie'zhuan 列传
'xiao'zhuan 小传
'zhuan'lue 传略
'nei'zhuan 内传
'xin'zhuan 新传
'bie'zhuan 别传
'xian'zhuan 贤传
'quan'zhuan 全传
'zhuan'ji 传记
'hou'zhuan 后传
'zuo'zhuan 左传
'shui'hu'zhuan 水浒传
'bai'she'zhuan 白蛇传
'ji'zhuan'ti 纪传体
'shu'bei'li'zhuan 树碑立传
'jing'zhuan 经传
'she'diao'ying'xiong'zhuan 射雕英雄传
'san'guo'qun'ying'zhuan 三国群英传
'zhao'lu 朝露
'zhao'qi 朝气
'zhao'yang 朝阳
'jin'zhao 今朝
'zuo'zhao 昨朝
'ming'zhao 明朝
'zhao'xia 朝霞
'zhao'ge 朝歌
'yi'zhao 一朝
'hua'zhao 花朝
'zhao'ling'xi'gai 朝令夕改
'zhao'bu 朝不
'zhao'mu 朝暮
'zhao'qian'xi'ti 朝乾夕惕
'mu'guo'zhao'yu 暮虢朝虞
'zhao'xu 朝旭
'zhao'hui 朝晖
'zhao'xi 朝夕
'chao'xian'shen 朝鲜参
'you'zhao'yi'ri 有朝一日
'zhao'hua'xi'shi 朝花夕拾
'zhao'ri'xin'wen 朝日新闻
'zhao'si'mu'xiang 朝思暮想
'zhao'bu'bao'xi 朝不保夕
'zhao'jiu'wan'wu 朝九晚五
'zhao'san'mu'si 朝三暮四
'zhao'zhao'mu'mu 朝朝暮暮
'zhao'qin'mu'chu 朝秦暮楚
'zhao'fa'xi'zhi 朝发夕至
'mie'ci'zhao'shi 灭此朝食
'zhao'wen'xi'si 朝闻夕死
'zhao'guo'xi'gai 朝过夕改
'zhao'ge'mu'wu 朝歌暮舞
'luo'bo 萝卜
'ke'wu 可恶
'zeng'wu 憎恶
'hao'wu 好恶
'suo'wu 所恶
'jiao'wu 交恶
'shen'wu'tong'jue 深恶痛绝
'hao'yi'wu'lao 好逸恶劳
'jiao'xing 侥幸
'xue'po 血泊
'tu'xie 吐血
'ka'xie 咯血
'yan'xie 验血
'xie'lin'lin 血淋淋
'yi'di'xie 一滴血
'qiang'diao 强调
'dan'diao 单调
'jue'jiang 倔强
'dou'dei 都得
'meng'shan'du 孟山都
'du'shi 都市
'du'cheng 都城
'cheng'du 成都
'du'yun 都匀
'gu'du 古都
'gu'du 故都
'du'jiang'yan 都江堰
'jing'du 京都
'di'du 帝都
'mo'du 魔都
'wu'du 雾都
'xian'du 仙都
'hua'du 花都
'nuan'huo 暖和
'chan'huo 掺和
'ruan'huo 软和
'jiao'huo 搅和
'huo'xi'ni 和稀泥
'geng'ye 哽咽
'wu'ye 呜咽
'you'ye 幽咽
'ning'ye 凝咽
'ye'ya 咽哑
'ye'qi 咽泣
'bei'ye 悲咽
'pang'bo 磅礴
'juan'yang 圈养
'zhu'juan 猪圈
'yang'juan 羊圈
'chao'qi 绰起
'ni'nan 呢喃
'mao'ni 毛呢
'ze'she 咋舌
'zha'hu 咋呼
'wei'jie 慰藉
'kong'tong 崆峒
'ma'bu 抹布
'ma'lian 抹脸
'ma'shou 抹手
'ma'xia 抹下
'ma'zao 抹澡
'ma'zhuo 抹桌
'qu'qiao 躯壳
'tuo'qiao 脱壳
'jia'qiao 甲壳
'dan'ke 弹壳
'tang'chi 汤匙
'cha'chi 茶匙
'yi'chi 一匙
'shi'de 似的
'cheng'man 盛满
'cheng'fan 盛饭
'cheng'tang 盛汤
'cheng'qi 盛器
'cheng'lian 盛殓
'pa'shou 扒手
'fan'pa 反扒
'pa'qie 扒窃
'pa'hui 扒灰
'chi'li'pa'wai 吃里扒外
'guo'fu 果脯
'rou'fu 肉脯
'ne'zha 哪吒
'ce'duo 测度
'chuai'duo 揣度
'cai'duo 猜度
'cai'duo 裁度
'kui'duo 揆度
'cun'duo 忖度
'shen'shi'duo'shi 审时度势
'yi'ji'duo'ren 以己度人
'duo'de'liang'li 度德量力
'duo'jun'zi'zhi'fu 度君子之腹
'bi'bang 臂膀
'bang'bi 膀臂
'zuo'bang'you'bi 左膀右臂
'ge'bei 胳臂
'pian'zhou 扁舟
'ao'kou 拗口
'wei'ao 违拗
'ao'duan 拗断
'zang'qing 藏青
'zang'lan 藏蓝
'zang'xiang 藏香
'zang'di 藏地
'di'zang 地藏
'jing'zang 经藏
'zang'jing 藏经
'shi'zang 释藏
'dao'zang 道藏
'da'zang'jing 大藏经
'zhuo'se 着色
'tao'shai 套色
'shai'zi 色子
'niao'nuo 袅娜
'e'nuo 婀娜
'gui'xiang 归降
'tou'xiang 投降
'xiang'long 降龙
'xiang'fu 降服
'xiang'fu 降伏
'quan'xiang 劝降
'xiang'mo 降魔
'zha'xiang 诈降
'xiang'jiang 降将
'you'xiang 诱降
'gong'shou'er'xiang 拱手而降
'yi'wu'xiang'yi'wu 一物降一物
'di'fang 提防
'xue'jia 雪茄
'ni'chang 霓裳
'you'shui 游说
'shui'ke 说客
'shi'jin 什锦
'bu'shi 布什
'shi'ye'pai 什叶派
'lao'shi'zi 劳什子
'shi'fang'shi 什邡市
'ke'shi'mi'er 克什米尔
'bu'er'shi'wei'ke 布尔什维克
'chan'yu 单于
'xing'shan 姓单
'bing'xi 屏息
'bing'qi 屏气
'qing'jia 亲家
'ya'si 轧死
'qing'ya 倾轧
'nv'gong 女红
'lei'jin 勒紧
'lei'si 勒死
'lei'zhu 勒住
'feng'shan 封禅
'shan'rang 禅让
'da'bai'zi 大伯子
'qian'fu 纤夫
'la'qian 拉纤
'bao'bing 刨冰
'bao'hua 刨花
'lao'piao 老朴
'xing'piao 姓朴
'po'dao 朴刀
'xiao'piao 小朴
'po'xiao 朴硝
'hou'po 厚朴
'kuai'ji 会计
'cai'kuai 财会
'xie'shu 解数
'xing'xie 姓解
'mai'xie 卖解
'qi'shou 稽首
'sui'pao 尿泡
'zan'zhi 拶指
'cuan'ji 攒机
'ren'tou'cuan'dong 人头攒动
'wan'tou'cuan'dong 万头攒动
'zang'pi 臧否
'pi'ji 否极
'pi'lai 否来
'pi'gua 否卦
'xiao'xu 小畜
'da'xu 大畜
'ren'shen 人参
'hai'shen 海参
'shi'shen 石参
'yang'shen 洋参
'shen'qi 参芪
'dan'shen 丹参
'dang'shen 党参
'shan''shen 山参
'yuan'shen 园参
'hong'shen 红参
'bai'shen 白参
'sha'shen 沙参
'xuan'shen 玄参
'shen'ling 参苓
'shen'zhu 参术
'shen'fu 参附
'shen'gui 参归
'shen'hu 参胡
'shen'jie 参芥
'shen'ju 参橘
'ku'shen 苦参
'zi'shen 紫参
'ban'shen 板参
'quan'shen 拳参
'shen'shang 参商
'e'zhu 莪术
'bai'zhu 白术
'cang'zhu 苍术
'cen'cuo 参错
'e'shen 峨参
'shen'heng 参横
'shen'su 参苏
'yang'shen 阳参
'chuan'shen 川参
'hua'shen 花参
'hei'shen 黑参
'ma'shen 麻参
'mai'shen 麦参
'shen'mai 参麦
'nai'shen 奶参
'niu'shen 牛参
're'shen 热参
'shen'lu 参芦
'tuan'shen 团参
'shen'xiang 参香
'tu'shen 土参
'tong'shen 童参
'shen'fu 参茯
'shen'rong 参茸
'shen'zhe 参赭
'shen'xu 参须
'shen'ye 参叶
'jia'she 迦叶
'zhang'shen 掌参
'liao'shen 辽参
'zhu'shen 诸参
'zhu'er'shen 参归
'zhu'shen 珠参
'wa'shen 瓦参
'wo'er'shen 窝儿参
'wei'shen 葳参
'xi'shen 西参
'xing'shen 杏参
'xian'mao'shen 仙茅参
'xue'shen 血参
'xia'shen 虾参
'yin'tiao'shen 银条参
'yin'yang'shen 阴阳参
'yi'shan'shen 移山参
'yuan'shen 元参
'piao'xiao 螵蛸
'ge'jie 蛤蚧
'suo'cao 莎草
'jie'geng 桔梗
'cu'jiang 酢浆
'chou'zuo 酬酢
'ju'yuan 枸橼
'qie'lan 伽蓝
'seng'qie 僧伽
'qie'nan'xiang 伽南香
'ga'ma 伽马
'bo're 般若
'fang'fu 仿佛
'fu'li 佛戾
'shi'jia'mu'ni 释迦牟尼
'jia'pi 加被
'fan'bai 梵呗
'zha'ruo 乍爇
'qian'cao 茜草
'lang'dang 莨菪
'gou'qi 枸杞
'zhu'er'shen 珠儿参
'zhu'jie'shen 竹节参
'zhu'gen'shen 竹根参
'shen'san'qi 参三七
'si'ye'shen 四叶参
'ji'zhao'shen 鸡爪参
'mao'zhao'shen 毛爪参
'lai'yang'shen 莱阳参
'hua'shan'shen 华山参
'fo'shou'shen 佛手参
'tai'bai'shen 太白参
'tian'zhu'shen 天竺参
'niu'wei'shen 牛尾参
'pan'long'shen 盘龙参
'lan'hua'shen 兰花参
'lan'hua'shen 蓝花参
'qing'yang'shen 青羊参
'qing'yang'shen 青阳参
'ji'lin'shen 吉林参
'fu'ping'shen 浮萍参
'huan'yang'shen 还阳参
'huang'hua'shen 黄花参
'huang'lian'shen 黄连参
'hei'yang'shen 黑阳参
'shen'yu'shang 参与商
'bie'zhi'shen 别直参
'hai'er'shen 孩儿参
'tai'zi'shen 太子参
'guai'gun'shen 拐棍参
'gao'li'shen 高丽参
'hua'qi'shen 花旗参
'wei'yu'chou'mou 未雨绸缪
'ting'er'zou'xian 铤而走险
'yin'hang'gao'ge 引吭高歌
'zhi'zhuo 执著
'nan'wu'xian 南无线
'wu'nan'wu'bei 无南无北
'jiang'nan'wu'lu 江南无路
'na'mo 南无
'gu'gu'zhui'di 呱呱坠地
'gu'gu'er'qi 呱呱而泣
'pai'ji'pao 迫击炮
'ge'lao'zu 仡佬族
'zha'liang'yong 查良镛
'huang'deng'deng 黄澄澄
'li'chang'hao 李昌镐
'she'ji'er'shang 拾级而上
'yu'shan'guan'jin 羽扇纶巾
'xin'kuan'ti'pan 心宽体胖
'tu'qi'hu'luo 兔起鹘落
'xin'guang'ti'pan 心广体胖
